"","home_team_long_name","league_name","home_team_short_name","home_team_api_id","variable","value"
"128","Real Valladolid","Spain LIGA BBVA","VAL",10281,"Overall",785.45596358747
"129","RC Deportivo de La Coruña","Spain LIGA BBVA","COR",9783,"Overall",803.375029255253
"130","Getafe CF","Spain LIGA BBVA","GET",8305,"Overall",813.085203108788
"131","Real Betis Balompié","Spain LIGA BBVA","BET",8603,"Overall",802.514822954823
"132","Valencia CF","Spain LIGA BBVA","VAL",10267,"Overall",859.005680317445
"133","FC Barcelona","Spain LIGA BBVA","BAR",8634,"Overall",913.758730852481
"134","Rayo Vallecano","Spain LIGA BBVA","RAY",8370,"Overall",789.679882196442
"135","Real Sociedad","Spain LIGA BBVA","SOC",8560,"Overall",822.104649249386
"136","Málaga CF","Spain LIGA BBVA","MAL",9864,"Overall",835.244354489553
"137","Atlético Madrid","Spain LIGA BBVA","AMA",9906,"Overall",870.837709972424
"138","CA Osasuna","Spain LIGA BBVA","OSA",8371,"Overall",786.759990019515
"139","Rayo Vallecano","Spain LIGA BBVA","RAY",8370,"Overall",802.966059664973
"140","RC Celta de Vigo","Spain LIGA BBVA","CEL",9910,"Overall",785.970481206374
"141","Athletic Club de Bilbao","Spain LIGA BBVA","BIL",8315,"Overall",835.274496336996
"142","RCD Espanyol","Spain LIGA BBVA","ESP",8558,"Overall",773.668699969621
"143","FC Barcelona","Spain LIGA BBVA","BAR",8634,"Overall",913.334815508565
"144","Granada CF","Spain LIGA BBVA","GRA",7878,"Overall",792.370766133022
"145","RC Deportivo de La Coruña","Spain LIGA BBVA","COR",9783,"Overall",803.375029255253
"146","Valencia CF","Spain LIGA BBVA","VAL",10267,"Overall",856.549453211218
"147","RCD Mallorca","Spain LIGA BBVA","MAL",8661,"Overall",806.801318699417
"148","Real Sociedad","Spain LIGA BBVA","SOC",8560,"Overall",819.851708072915
"149","Real Betis Balompié","Spain LIGA BBVA","BET",8603,"Overall",806.098156288156
"150","Levante UD","Spain LIGA BBVA","LEV",8581,"Overall",798.056029538044
"151","Real Valladolid","Spain LIGA BBVA","VAL",10281,"Overall",781.700499499054
"152","Real Madrid CF","Spain LIGA BBVA","REA",8633,"Overall",899.52987274251
"153","Sevilla FC","Spain LIGA BBVA","SEV",8302,"Overall",857.478255937854
"154","Real Zaragoza","Spain LIGA BBVA","ZAR",8394,"Overall",794.142597970771
"155","RCD Mallorca","Spain LIGA BBVA","MAL",8661,"Overall",799.159470646313
"156","RCD Espanyol","Spain LIGA BBVA","ESP",8558,"Overall",790.413937824488
"157","Valencia CF","Spain LIGA BBVA","VAL",10267,"Overall",839.063788004964
"158","Sevilla FC","Spain LIGA BBVA","SEV",8302,"Overall",833.58673967691
"159","Granada CF","Spain LIGA BBVA","GRA",7878,"Overall",795.614029000423
"160","RC Deportivo de La Coruña","Spain LIGA BBVA","COR",9783,"Overall",796.312614858056
"161","Málaga CF","Spain LIGA BBVA","MAL",9864,"Overall",829.908865778044
"162","Rayo Vallecano","Spain LIGA BBVA","RAY",8370,"Overall",794.943427884988
"163","RC Celta de Vigo","Spain LIGA BBVA","CEL",9910,"Overall",770.850567786461
"164","Real Madrid CF","Spain LIGA BBVA","REA",8633,"Overall",916.393365233422
"165","Getafe CF","Spain LIGA BBVA","GET",8305,"Overall",807.286934029611
"166","FC Barcelona","Spain LIGA BBVA","BAR",8634,"Overall",922.260584314133
"167","Real Sociedad","Spain LIGA BBVA","SOC",8560,"Overall",801.109257443125
"168","Atlético Madrid","Spain LIGA BBVA","AMA",9906,"Overall",872.605631119378
"169","CA Osasuna","Spain LIGA BBVA","OSA",8371,"Overall",784.190759250284
"170","Real Betis Balompié","Spain LIGA BBVA","BET",8603,"Overall",808.075537240537
"171","Levante UD","Spain LIGA BBVA","LEV",8581,"Overall",800.981380010947
