"","league_name","home_team_api_id","home_team_short_name","home_team_long_name","Overall","Potential","Stamina","Agility","Aggression"
"99","Germany 1. Bundesliga",9790,"HAM","Hamburger SV",830.052198686981,874.619792977787,791.788308899038,757.110322940267,723.391069195207
"100","Germany 1. Bundesliga",9905,"MAI","1. FSV Mainz 05",783.495674457316,814.221673609176,766.401691390256,709.222253650577,715.035647166454
"101","Germany 1. Bundesliga",10269,"STU","VfB Stuttgart",819.383233398898,849.929471310468,751.281463878132,713.106050207962,714.87640574098
"102","Germany 1. Bundesliga",8357,"GRF","SpVgg Greuther Fürth",744.12618535073,817.422857520001,740.211288549998,734.241318238737,673.217579535181
"103","Germany 1. Bundesliga",8697,"WBR","SV Werder Bremen",800.577918173521,855.582651403411,748.45495424197,757.786526438963,676.814978117327
"104","Germany 1. Bundesliga",8721,"WOL","VfL Wolfsburg",833.800940176552,875.709367320948,761.432552822753,759.664028660526,754.305526054218
"105","Germany 1. Bundesliga",9810,"EFR","Eintracht Frankfurt",791.79567412628,843.474449850937,774.247538175656,754.265024531786,660.552838053124
"106","Germany 1. Bundesliga",8165,"NUR","1. FC Nürnberg",796.48551362974,831.23095816763,744.233410643923,663.891054741364,753.05955761147
"107","Germany 1. Bundesliga",8358,"FRE","SC Freiburg",786.21482191129,825.215215895833,781.784761071747,727.475043014601,722.659939799366
"108","Germany 1. Bundesliga",9823,"BMU","FC Bayern Munich",912.124125673177,944.312533357447,797.665572301262,752.717696929507,725.15499145969
"109","Germany 1. Bundesliga",8194,"FDU","Fortuna Düsseldorf",752.08554810217,788.833644579743,762.778550040038,670.75809473125,703.53259509539
"110","Germany 1. Bundesliga",9789,"DOR","Borussia Dortmund",868.702418799524,910.967263487,808.352158489659,767.538305802385,763.19031502367
"111","Germany 1. Bundesliga",9790,"HAM","Hamburger SV",812.975149918756,866.828440539376,777.547044444538,779.059732191147,689.469689104709
"112","Germany 1. Bundesliga",8178,"LEV","Bayer 04 Leverkusen",837.484754874236,885.629735790675,810.022599207452,717.465847891654,745.471138162653
"113","Germany 1. Bundesliga",9788,"GLA","Borussia Mönchengladbach",817.685236228241,863.838492240579,753.402711509505,699.765426707467,731.022274563912
"114","Germany 1. Bundesliga",9904,"HAN","Hannover 96",814.449374835237,852.013423848251,741.971825888033,756.946007401869,704.800111073559
"115","Germany 1. Bundesliga",10189,"S04","FC Schalke 04",833.019659202586,879.038400191218,798.638042504485,744.445393923275,702.74162543372
"116","Germany 1. Bundesliga",8406,"AUG","FC Augsburg",768.959055439467,819.997679465413,787.177700076287,710.59665306774,695.705920010945
"117","Spain LIGA BBVA",9906,"AMA","Atlético Madrid",877.85252030105,914.846454743514,812.695088136265,798.358065953654,772.935284214696
"118","Spain LIGA BBVA",8661,"MAL","RCD Mallorca",792.014133344725,830.506831779761,763.002681428765,709.680019362875,728.5130178201
"119","Spain LIGA BBVA",7878,"GRA","Granada CF",792.055560386154,823.805775017778,763.787987547012,745.472160587131,730.489364056955
"120","Spain LIGA BBVA",8633,"REA","Real Madrid CF",908.890706391205,939.315990065419,805.426052237771,801.392244629212,732.742898604747
"121","Spain LIGA BBVA",8581,"LEV","Levante UD",800.767580807055,833.15731845995,740.12049729155,710.682426274532,741.186598252388
"122","Spain LIGA BBVA",8394,"ZAR","Real Zaragoza",794.159830909831,830.055916768417,777.115588809339,738.134775409775,738.082640970141
"123","Spain LIGA BBVA",8315,"BIL","Athletic Club de Bilbao",838.601769064269,873.434631618382,805.429923409923,737.498493589744,789.139298618049
"124","Spain LIGA BBVA",8558,"ESP","RCD Espanyol",789.442994960163,840.434054832785,778.40518219957,759.068922369266,714.706198190317
"125","Spain LIGA BBVA",9864,"MAL","Málaga CF",843.465267762283,866.661573568006,769.808044468302,750.787320184116,763.658826075477
"126","Spain LIGA BBVA",8371,"OSA","CA Osasuna",787.928057246406,814.22906244013,714.754319430775,699.186856199406,708.42164104363
"127","Spain LIGA BBVA",9910,"CEL","RC Celta de Vigo",779.526840855497,820.639038668191,754.770234692009,747.02984426533,682.998560344324
"128","Spain LIGA BBVA",10281,"VAL","Real Valladolid",785.45596358747,814.769543469607,779.627409684407,726.534674044652,699.29553770914
"129","Spain LIGA BBVA",9783,"COR","RC Deportivo de La Coruña",803.375029255253,835.186626460724,702.03762074639,714.193813052601,672.585392401145
"130","Spain LIGA BBVA",8305,"GET","Getafe CF",813.085203108788,857.155982899239,717.205423639855,733.953454342943,676.915440474463
"131","Spain LIGA BBVA",8603,"BET","Real Betis Balompié",802.514822954823,842.043876678877,753.544188034188,728.707039072039,708.509340659341
"132","Spain LIGA BBVA",10267,"VAL","Valencia CF",859.005680317445,895.543907658614,772.088246764717,791.814376293788,765.769929593459
"133","Spain LIGA BBVA",8634,"BAR","FC Barcelona",913.758730852481,952.333366633367,829.120604395604,854.749317765568,760.05171994672
"134","Spain LIGA BBVA",8370,"RAY","Rayo Vallecano",789.679882196442,829.207412271607,753.657750543332,783.91804720446,715.086325113851
"135","Spain LIGA BBVA",8560,"SOC","Real Sociedad",822.104649249386,868.868466621098,757.107193488773,778.69822029822,681.053312574365
"136","Spain LIGA BBVA",9864,"MAL","Málaga CF",835.244354489553,854.463431272648,749.332880974938,718.720787282948,766.239703677408
"137","Spain LIGA BBVA",9906,"AMA","Atlético Madrid",870.837709972424,907.907016532512,813.824622729509,790.566832558459,759.166760973873
"138","Spain LIGA BBVA",8371,"OSA","CA Osasuna",786.759990019515,810.472759919121,736.474907666069,697.493578888482,726.081304909177
"139","Spain LIGA BBVA",8370,"RAY","Rayo Vallecano",802.966059664973,835.648666478449,755.160794748729,758.727758799172,754.874321005082
"140","Spain LIGA BBVA",9910,"CEL","RC Celta de Vigo",785.970481206374,824.732835660673,743.727972787247,744.103089879365,688.209399943321
